time_value,geo_value,value,activity_level,region_value,national_value
2023-05-06,fl,1.2506137914008477,2.0,1.4986783216220096,1.4428392895396756
2023-01-14,fl,7.982317465459813,6.0,3.954088972832187,4.904806969932883
2024-06-29,fl,1.3261094103942233,2.0,1.237849887707457,1.4704363218180896
2022-11-19,fl,10.231099290709324,6.0,12.46578354943157,12.228303477268934
2023-12-16,fl,11.936270509482187,6.0,8.155772149863358,7.43642340903787
2022-12-24,fl,8.846903523335412,6.0,9.30938759140179,17.419358383859745
2023-08-12,fl,2.1173824049417207,3.0,1.6616725593892987,1.456837989167276
2023-05-13,fl,1.481887986141714,2.0,1.5189376610585499,1.4400862420953016
2022-08-13,fl,1.4495791125145019,2.0,1.1857371204029483,1.361119968695806
2024-01-27,fl,9.629255648840505,6.0,9.186955044731464,8.889693183205093
2024-06-22,fl,1.5254516915436627,2.0,1.293302248828831,1.372765530573848
2022-07-02,fl,1.4345355771485113,2.0,1.4282683296764844,1.6663594500796208
2022-11-12,fl,10.35029880165288,6.0,13.077148853128113,8.097128739553996
2022-12-03,fl,9.661657298334397,6.0,12.068144562686008,23.643208719864063
2022-06-25,fl,3.7784546404452137,4.0,2.0486886527524386,1.704294093839564
2023-09-02,fl,1.4570779557329536,2.0,1.4539693686644612,1.345114177247681
2023-07-22,fl,1.4974756400614253,2.0,1.5419962118477457,1.41042084361778
2024-04-06,fl,3.506580587593125,4.0,3.6585522731885725,4.3737211924495565
2024-02-10,fl,8.924537973612534,6.0,6.49045470571633,7.639733091854434
2022-09-10,fl,1.014408281018911,2.0,1.5501224711991441,1.2631074452966842
2024-06-08,fl,1.4137145101711814,2.0,1.4071739807970223,1.728889210463115
2023-11-18,fl,4.415872992195544,4.0,2.6748246869068377,1.9337653341523473
2023-10-28,fl,2.3857352787307105,3.0,1.607437924482987,1.4636725470882075
2023-07-08,fl,1.4000154863297807,2.0,1.3336136394609366,1.3199627808289685
2022-10-22,fl,2.2663049252779643,3.0,7.610216951941194,1.4671604288012663
2024-08-24,fl,1.3915864990345101,2.0,1.415211276572938,1.3692773565268315
2024-09-28,fl,1.4677972893909255,2.0,1.4747261750806235,1.371334589038172
2022-05-21,fl,6.703138013121354,5.0,2.9594963031677706,4.0141511494047535
2023-07-01,fl,2.0540907902274945,3.0,1.5073028571239138,1.3453891503511874
2024-04-20,fl,4.101962712418616,4.0,2.2816396437724014,3.1983654935058623
2023-09-09,fl,3.509669583368488,4.0,1.5041201268667324,1.399992202202848
2024-09-21,fl,1.7014293624389525,3.0,1.3155942987790712,1.2080925718451165
2022-05-07,fl,3.3392312269062963,4.0,3.231237235732374,2.584221870597265
2022-07-23,fl,1.24539829345737,2.0,1.285013437214213,1.3306698593821829
2023-11-25,fl,6.492726223668863,5.0,3.3149452654775,2.1818864637961437
2023-12-30,fl,19.390169584527175,8.0,16.576008605910516,15.052858636599094
2022-10-29,fl,6.837905116888763,5.0,11.542091714922142,3.3803622377520646
2022-09-03,fl,1.0335164194919673,2.0,1.1996508172174003,1.095080665886382
2023-06-10,fl,1.493119134230127,2.0,1.5772056055505934,1.2903321532996692
2023-07-15,fl,1.4593556144136617,2.0,1.545085327786938,1.47614745069149
2024-06-15,fl,2.2955592494095214,3.0,1.3740583794989873,1.613460594335774
2024-10-19,fl,1.947759819920466,3.0,1.398834379647548,1.2898643548143558
2023-10-14,fl,4.573196528882259,5.0,1.6331148195096397,1.3805268406369877
2024-10-12,fl,1.7004077466795349,3.0,1.3173131717242157,1.1764454223026086
2024-07-20,fl,1.2377078491109486,2.0,1.2382087868652714,1.4996599326436786
2024-03-30,fl,5.961203289569385,5.0,3.683598389232669,3.5527952363573236
2024-02-17,fl,5.844089434102973,5.0,7.157877064133489,7.329559385152467
2022-11-05,fl,8.031892491584955,6.0,11.19630492824561,5.032461991911971
2024-07-27,fl,1.5665918413725968,2.0,1.5545390506223775,1.4564584857037832
2023-04-01,fl,1.2974779714826028,2.0,1.3614359109066005,1.6293185180403988
2023-01-07,fl,10.695993442346236,6.0,6.28159299588078,9.426540237930473
2024-02-24,fl,6.380109176477127,5.0,6.182572256952565,7.036086485527335
2024-05-25,fl,2.0960891249512654,3.0,1.700277892025701,1.880306294247108
2023-09-23,fl,2.7852373780283974,4.0,1.747580837755877,1.6133003529952614
2023-02-04,fl,3.587678734913851,4.0,2.3400513722996568,2.164066207929189
2024-01-06,fl,12.39800918948586,7.0,13.943107117999087,12.541679065590756
2024-01-13,fl,13.715867257860708,7.0,11.889069463754325,11.043242875311522
2023-10-07,fl,4.789827205207539,5.0,2.07414368012805,1.3580279338231172
2023-04-22,fl,1.088777942364278,2.0,1.2557724771922962,1.376843519035452
2023-05-20,fl,1.536178428844257,2.0,1.5828742150303363,1.4323665138819244
2023-11-04,fl,2.317142938678928,3.0,2.0116725710582477,1.8342216409705192
2022-06-18,fl,6.127956704262207,5.0,2.177867430992567,2.3583592152727597
2023-06-24,fl,1.3584560874946972,2.0,1.399155304443222,1.3615571816181404
2022-10-15,fl,1.4835750196227124,2.0,4.06076015611433,1.5328514886304672
2023-02-25,fl,1.0995093564918967,2.0,1.5310677287454761,1.6337508178618774
2023-09-30,fl,3.459193833727322,4.0,1.9226022240106615,1.5405270662102808
2024-08-17,fl,1.624017018375767,3.0,1.4104872449774586,1.299490275477278
2022-04-23,fl,2.5504908023558426,3.0,2.1013905609947336,2.52596497315513
2024-09-07,fl,1.9199101265032983,3.0,1.4447803422669132,1.2637017554747572
2024-06-01,fl,1.739065681754226,3.0,1.4853299849557464,1.9186753079988232
2024-01-20,fl,9.616951235285267,6.0,9.63396883627489,8.963190797712715
2023-06-17,fl,1.5675344234059396,2.0,1.5409360876030949,1.3557491431179105
2022-08-20,fl,0.9775794578475777,1.0,1.209943219625889,1.170363563703495
2022-04-30,fl,4.088351867113478,4.0,2.5923955320411363,3.2266340713699777
2023-04-15,fl,1.5231637978642636,2.0,1.6749223372875306,1.6337640667242943
2022-07-30,fl,1.4136562633053409,2.0,1.3777267064549712,1.2628348011519102
2023-12-02,fl,8.885202345518794,6.0,4.2088042106725885,4.351337352381651
2023-04-29,fl,1.2598264190338722,2.0,1.3377185956427695,1.3675909249107159
2022-10-01,fl,1.4139152794935943,2.0,1.6139735318112942,1.410136954712486
2022-06-04,fl,6.287367797629824,5.0,3.5323069937481857,3.031299818162457
2022-11-26,fl,9.150440407562424,6.0,14.36182064683224,15.544459851057255
2023-03-11,fl,1.5006857703161796,2.0,1.3556890000449915,1.7452642933827909
2022-12-10,fl,9.897284931632774,6.0,9.897284931632774,18.88474766963888
2022-09-24,fl,1.6768061791559299,3.0,1.6221254987099505,1.524064564372376
2023-08-05,fl,1.784833196087125,3.0,1.4254530954008207,1.3257715684745486
2023-04-08,fl,1.5035423483393007,2.0,1.5035423483393007,1.6901722681493272
2023-03-04,fl,1.5943549252279166,2.0,1.4457726187012216,1.7864804377838208
2023-03-18,fl,1.5183096888046783,2.0,1.4399827517499166,1.8597026909533771
2022-12-17,fl,12.930184757341072,7.0,9.017503082329464,18.856925037046327
2024-05-11,fl,2.174696111019809,3.0,2.0144377897662062,2.855700300645851
2023-05-27,fl,1.3566449003387602,2.0,1.5609073795044859,1.3664400937876373
2024-07-06,fl,1.2702660919066784,2.0,1.3088643910101598,1.3493161204339281
2024-08-10,fl,1.5250135460699563,2.0,1.3334050099288508,1.4050506018330264
2023-02-18,fl,3.5029544573641087,4.0,1.8063169981462717,1.8588259118008845
2023-09-16,fl,2.976072241410528,4.0,1.6999424204260865,1.545762350512689
2024-09-14,fl,2.161600305334236,3.0,1.26602868644515,1.2388566762367494
2024-03-09,fl,7.269563990599191,5.0,4.706543111444064,5.347784974320218
2023-06-03,fl,1.2890546064887958,2.0,1.4475742398593026,1.3153472655870944
2022-07-16,fl,1.6532652880300411,3.0,1.490965679671187,1.6301646019476994
2024-08-31,fl,1.3970982553965459,2.0,1.3865497644845486,1.3212852432489939
2023-12-23,fl,11.311346480316432,6.0,10.52804531515826,9.987308810716254
2023-08-26,fl,3.3037873306203216,4.0,1.4366522350600461,1.359311098166365
2022-12-31,fl,11.50964773847307,6.0,9.597086859674016,14.423090887794473
2023-07-29,fl,1.6047664011440865,3.0,1.4408104533830814,1.3198223804807878
2023-11-11,fl,3.6868898938356094,4.0,1.8880537373679744,1.699282739577417
2022-06-11,fl,8.263720653427198,6.0,3.0850157630331396,1.690906497622568
2024-03-16,fl,4.070139273068534,4.0,3.710148156671548,4.044689780395984
2024-08-03,fl,1.2386836099414433,2.0,1.3289084670187394,1.3321149867764794
2024-04-27,fl,3.832346874377321,4.0,2.27414767568533,2.4617600583676813
2022-09-17,fl,1.2700612362626726,2.0,1.3340906805511081,1.2918152835587338
2023-03-25,fl,1.4746521764194553,2.0,1.6001887394295997,1.6945225163730795
2024-02-03,fl,7.717857240443633,6.0,8.70567533821067,8.712181258542067
